lab_categoria,variable,pregunta,Codigo,sub_cat,Desglose,Porcentaje
Ni bueno ni malo,trato1,¿Cómo es el trato que recibe el (la) niño(a) por parte del personal de la guardería?,3,Nacional,Nacional,3.0
Malo,trato1,¿Cómo es el trato que recibe el (la) niño(a) por parte del personal de la guardería?,4,Nacional,Nacional,1.0
Pésimo,trato1,¿Cómo es el trato que recibe el (la) niño(a) por parte del personal de la guardería?,5,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,trato1,¿Cómo es el trato que recibe el (la) niño(a) por parte del personal de la guardería?,99,Nacional,Nacional,1.0
Sí,medidaseg,¿Conoce las medidas de seguridad de las instalaciones de la guardería?,1,Nacional,Nacional,93.0
No,medidaseg,¿Conoce las medidas de seguridad de las instalaciones de la guardería?,2,Nacional,Nacional,5.0
NO SABE/NO RESPONDE,medidaseg,¿Conoce las medidas de seguridad de las instalaciones de la guardería?,99,Nacional,Nacional,2.0
Excelente,limpguard,"En general, ¿cómo calificaría la limpieza de la guardería?",1,Nacional,Nacional,63.0
Buena,limpguard,"En general, ¿cómo calificaría la limpieza de la guardería?",2,Nacional,Nacional,35.0
Ni buena ni mala,limpguard,"En general, ¿cómo calificaría la limpieza de la guardería?",3,Nacional,Nacional,2.0
Mala,limpguard,"En general, ¿cómo calificaría la limpieza de la guardería?",4,Nacional,Nacional,0.0
Pésima,limpguard,"En general, ¿cómo calificaría la limpieza de la guardería?",5,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,limpguard,"En general, ¿cómo calificaría la limpieza de la guardería?",99,Nacional,Nacional,0.0
Excelente,manguard,"En general, ¿cómo calificaría el mantenimiento que se le da a la guardería?",1,Nacional,Nacional,51.0
Bueno,manguard,"En general, ¿cómo calificaría el mantenimiento que se le da a la guardería?",2,Nacional,Nacional,43.0
Ni bueno ni malo,manguard,"En general, ¿cómo calificaría el mantenimiento que se le da a la guardería?",3,Nacional,Nacional,4.0
Malo,manguard,"En general, ¿cómo calificaría el mantenimiento que se le da a la guardería?",4,Nacional,Nacional,1.0
Pésimo,manguard,"En general, ¿cómo calificaría el mantenimiento que se le da a la guardería?",5,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,manguard,"En general, ¿cómo calificaría el mantenimiento que se le da a la guardería?",99,Nacional,Nacional,1.0
Sí,desling,¿Después de asistir a esta guardería el (la) niño(a) mostró avances en su desarrollo lingüístico o habilidades para comunicarse?,1,Nacional,Nacional,91.0
No,desling,¿Después de asistir a esta guardería el (la) niño(a) mostró avances en su desarrollo lingüístico o habilidades para comunicarse?,2,Nacional,Nacional,5.0
NO SABE/NO RESPONDE,desling,¿Después de asistir a esta guardería el (la) niño(a) mostró avances en su desarrollo lingüístico o habilidades para comunicarse?,99,Nacional,Nacional,4.0
Sí,desmot,¿Después de asistir a esta guardería el (la) niño(a) mostró avances en la coordinación de sus movimientos?,1,Nacional,Nacional,96.0
No,desmot,¿Después de asistir a esta guardería el (la) niño(a) mostró avances en la coordinación de sus movimientos?,2,Nacional,Nacional,2.0
NO SABE/NO RESPONDE,desmot,¿Después de asistir a esta guardería el (la) niño(a) mostró avances en la coordinación de sus movimientos?,99,Nacional,Nacional,2.0
Sí,desocon,¿Después de asistir a esta guardería el (la) niño(a) mostró avances en su desarrollo social y de convivencia?,1,Nacional,Nacional,94.0
No,desocon,¿Después de asistir a esta guardería el (la) niño(a) mostró avances en su desarrollo social y de convivencia?,2,Nacional,Nacional,3.0
NO SABE/NO RESPONDE,desocon,¿Después de asistir a esta guardería el (la) niño(a) mostró avances en su desarrollo social y de convivencia?,99,Nacional,Nacional,2.0
Totalmente de acuerdo,clafec,"El personal de la sala o grupo fomenta un clima de afecto y buen trato con los niños (sonrisas, risas, miradas de afecto, entusiasmo, respeto)",1,Nacional,Nacional,58.0
De acuerdo,clafec,"El personal de la sala o grupo fomenta un clima de afecto y buen trato con los niños (sonrisas, risas, miradas de afecto, entusiasmo, respeto)",2,Nacional,Nacional,36.0
Ni de acuerdo ni en desacuerdo,clafec,"El personal de la sala o grupo fomenta un clima de afecto y buen trato con los niños (sonrisas, risas, miradas de afecto, entusiasmo, respeto)",3,Nacional,Nacional,4.0
En desacuerdo,clafec,"El personal de la sala o grupo fomenta un clima de afecto y buen trato con los niños (sonrisas, risas, miradas de afecto, entusiasmo, respeto)",4,Nacional,Nacional,1.0
Totalmente en desacuerdo,clafec,"El personal de la sala o grupo fomenta un clima de afecto y buen trato con los niños (sonrisas, risas, miradas de afecto, entusiasmo, respeto)",5,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,clafec,"El personal de la sala o grupo fomenta un clima de afecto y buen trato con los niños (sonrisas, risas, miradas de afecto, entusiasmo, respeto)",99,Nacional,Nacional,1.0
Totalmente de acuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",1,Nacional,Nacional,50.0
De acuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",2,Nacional,Nacional,38.0
Ni de acuerdo ni en desacuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",3,Nacional,Nacional,7.0
En desacuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",4,Nacional,Nacional,2.0
Totalmente en desacuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",5,Nacional,Nacional,1.0
NO SABE/NO RESPONDE,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",99,Nacional,Nacional,1.0
Totalmente de acuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,1,Nacional,Nacional,4.0
De acuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,2,Nacional,Nacional,6.0
Ni de acuerdo ni en desacuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,3,Nacional,Nacional,7.0
En desacuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,4,Nacional,Nacional,36.0
Totalmente en desacuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,5,Nacional,Nacional,41.0
NO SABE/NO RESPONDE,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,99,Nacional,Nacional,7.0
Totalmente de acuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",1,Nacional,Nacional,51.0
De acuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",2,Nacional,Nacional,38.0
Ni de acuerdo ni en desacuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",3,Nacional,Nacional,5.0
En desacuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",4,Nacional,Nacional,3.0
Totalmente en desacuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",5,Nacional,Nacional,1.0
NO SABE/NO RESPONDE,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",99,Nacional,Nacional,2.0
Totalmente de acuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,1,Nacional,Nacional,57.0
De acuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,2,Nacional,Nacional,39.0
Ni de acuerdo ni en desacuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,3,Nacional,Nacional,3.0
En desacuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,4,Nacional,Nacional,1.0
Totalmente en desacuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,5,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,99,Nacional,Nacional,1.0
Totalmente de acuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",1,Nacional,Nacional,46.0
De acuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",2,Nacional,Nacional,42.0
Ni de acuerdo ni en desacuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",3,Nacional,Nacional,7.0
En desacuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",4,Nacional,Nacional,3.0
Totalmente en desacuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",5,Nacional,Nacional,1.0
No aplica,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",97,Nacional,Nacional,1.0
NO SABE/NO RESPONDE,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",99,Nacional,Nacional,1.0
Totalmente de acuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,1,Nacional,Nacional,42.0
De acuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,2,Nacional,Nacional,45.0
Ni de acuerdo ni en desacuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,3,Nacional,Nacional,7.0
En desacuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,4,Nacional,Nacional,2.0
Totalmente en desacuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,5,Nacional,Nacional,1.0
NO SABE/NO RESPONDE,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,99,Nacional,Nacional,3.0
Sí,presact,"Durante la estancia de su niño(a) en la guardería, ¿ha presenciado alguna actividad pedagógica en la guardería?",1,Nacional,Nacional,67.0
No,presact,"Durante la estancia de su niño(a) en la guardería, ¿ha presenciado alguna actividad pedagógica en la guardería?",2,Nacional,Nacional,26.0
NO SABE/NO RESPONDE,presact,"Durante la estancia de su niño(a) en la guardería, ¿ha presenciado alguna actividad pedagógica en la guardería?",99,Nacional,Nacional,6.0
Totalmente de acuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),1,Nacional,Nacional,65.0
De acuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),2,Nacional,Nacional,30.0
Ni de acuerdo ni en desacuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),3,Nacional,Nacional,3.0
En desacuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),4,Nacional,Nacional,1.0
Totalmente en desacuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),5,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),99,Nacional,Nacional,2.0
Totalmente de acuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,1,Nacional,Nacional,58.0
De acuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,2,Nacional,Nacional,34.0
Ni de acuerdo ni en desacuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,3,Nacional,Nacional,4.0
En desacuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,4,Nacional,Nacional,1.0
Totalmente en desacuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,5,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,99,Nacional,Nacional,3.0
Totalmente de acuerdo,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,1,Nacional,Nacional,58.0
De acuerdo,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,2,Nacional,Nacional,35.0
Ni de acuerdo ni en desacuerdo,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,3,Nacional,Nacional,3.0
En desacuerdo,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,4,Nacional,Nacional,1.0
Totalmente en desacuerdo,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,5,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,99,Nacional,Nacional,3.0
Totalmente de acuerdo,relogro,"A través de la información que recibo, considero que el personal reconoce los logros de los niños(as)",1,Nacional,Nacional,60.0
De acuerdo,relogro,"A través de la información que recibo, considero que el personal reconoce los logros de los niños(as)",2,Nacional,Nacional,33.0
Ni de acuerdo ni en desacuerdo,relogro,"A través de la información que recibo, considero que el personal reconoce los logros de los niños(as)",3,Nacional,Nacional,4.0
En desacuerdo,relogro,"A través de la información que recibo, considero que el personal reconoce los logros de los niños(as)",4,Nacional,Nacional,1.0
Totalmente en desacuerdo,relogro,"A través de la información que recibo, considero que el personal reconoce los logros de los niños(as)",5,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,relogro,"A través de la información que recibo, considero que el personal reconoce los logros de los niños(as)",99,Nacional,Nacional,1.0
Totalmente de acuerdo,promu,El personal educativo promueve que los(las) niños(as) amplíen su comunicación y/o lenguaje durante su estancia en la guardería,1,Nacional,Nacional,60.0
De acuerdo,promu,El personal educativo promueve que los(las) niños(as) amplíen su comunicación y/o lenguaje durante su estancia en la guardería,2,Nacional,Nacional,34.0
Ni de acuerdo ni en desacuerdo,promu,El personal educativo promueve que los(las) niños(as) amplíen su comunicación y/o lenguaje durante su estancia en la guardería,3,Nacional,Nacional,4.0
En desacuerdo,promu,El personal educativo promueve que los(las) niños(as) amplíen su comunicación y/o lenguaje durante su estancia en la guardería,4,Nacional,Nacional,1.0
Totalmente en desacuerdo,promu,El personal educativo promueve que los(las) niños(as) amplíen su comunicación y/o lenguaje durante su estancia en la guardería,5,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,promu,El personal educativo promueve que los(las) niños(as) amplíen su comunicación y/o lenguaje durante su estancia en la guardería,99,Nacional,Nacional,2.0
Sí,trabcont,Desde que inició la emergencia sanitaria causada por el COVID-19 ¿usted continuó yendo a su centro de trabajo?,1,Nacional,Nacional,63.0
No,trabcont,Desde que inició la emergencia sanitaria causada por el COVID-19 ¿usted continuó yendo a su centro de trabajo?,2,Nacional,Nacional,36.0
No aplica (No trabajo),trabcont,Desde que inició la emergencia sanitaria causada por el COVID-19 ¿usted continuó yendo a su centro de trabajo?,3,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,trabcont,Desde que inició la emergencia sanitaria causada por el COVID-19 ¿usted continuó yendo a su centro de trabajo?,99,Nacional,Nacional,1.0
Sí,trabcasa,¿Continuó efectuando su trabajo desde casa?,1,Nacional,Nacional,51.0
No,trabcasa,¿Continuó efectuando su trabajo desde casa?,2,Nacional,Nacional,48.0
NO SABE/NO RESPONDE,trabcasa,¿Continuó efectuando su trabajo desde casa?,99,Nacional,Nacional,1.0
Sí,apoyocasa,Aun laborando desde casa ¿requirió de alguien para que le apoyara con el cuidado de su hijo?,1,Nacional,Nacional,61.0
No,apoyocasa,Aun laborando desde casa ¿requirió de alguien para que le apoyara con el cuidado de su hijo?,2,Nacional,Nacional,38.0
NO SABE/NO RESPONDE,apoyocasa,Aun laborando desde casa ¿requirió de alguien para que le apoyara con el cuidado de su hijo?,99,Nacional,Nacional,1.0
Padre o madre del niño(a),cargocasa,¿Quién le apoyo en el cuidado del niño?,1,Nacional,Nacional,20.0
Abuelos,cargocasa,¿Quién le apoyo en el cuidado del niño?,2,Nacional,Nacional,50.0
Tíos,cargocasa,¿Quién le apoyo en el cuidado del niño?,3,Nacional,Nacional,8.0
Algún otro familiar,cargocasa,¿Quién le apoyo en el cuidado del niño?,4,Nacional,Nacional,12.0
Algún conocido,cargocasa,¿Quién le apoyo en el cuidado del niño?,5,Nacional,Nacional,6.0
Pagué para su cuidado,cargocasa,¿Quién le apoyo en el cuidado del niño?,6,Nacional,Nacional,3.0
Nadie,cargocasa,¿Quién le apoyo en el cuidado del niño?,7,Nacional,Nacional,1.0
Otro,cargocasa,¿Quién le apoyo en el cuidado del niño?,98,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,cargocasa,¿Quién le apoyo en el cuidado del niño?,99,Nacional,Nacional,0.0
Sí,usoguarcov,Si la guardería hubiera continuado dando servicio durante la contingencia sanitaria ¿hubiera hecho uso de este?,1,Nacional,Nacional,44.0
No,usoguarcov,Si la guardería hubiera continuado dando servicio durante la contingencia sanitaria ¿hubiera hecho uso de este?,2,Nacional,Nacional,49.0
NO SABE/NO RESPONDE,usoguarcov,Si la guardería hubiera continuado dando servicio durante la contingencia sanitaria ¿hubiera hecho uso de este?,99,Nacional,Nacional,7.0
Sí,actsugmic,"¿Las actividades y sugerencias recibidas a través del micrositio de comunicación con padres, le ayudaron a dar continuidad a los aprendizajes que se promueven en la guardería?",1,Nacional,Nacional,79.0
No,actsugmic,"¿Las actividades y sugerencias recibidas a través del micrositio de comunicación con padres, le ayudaron a dar continuidad a los aprendizajes que se promueven en la guardería?",2,Nacional,Nacional,14.0
NO SABE/NO RESPONDE,actsugmic,"¿Las actividades y sugerencias recibidas a través del micrositio de comunicación con padres, le ayudaron a dar continuidad a los aprendizajes que se promueven en la guardería?",99,Nacional,Nacional,7.0
Mujer,sexo_fin,Genero,1,Nacional,Nacional,92.0
Hombre,sexo_fin,Genero,2,Nacional,Nacional,8.0
Otro,sexo_fin,Genero,98,Nacional,Nacional,0.0
Lactantes,sala_x,¿En qué sala de atención o grupo se encuentra inscrito el (la) niño(a)?,1,Nacional,Nacional,27.0
Maternal,sala_x,¿En qué sala de atención o grupo se encuentra inscrito el (la) niño(a)?,2,Nacional,Nacional,67.0
Preescolares,sala_x,¿En qué sala de atención o grupo se encuentra inscrito el (la) niño(a)?,3,Nacional,Nacional,4.0
"Grupo (I, II, III, IV)",sala_x,¿En qué sala de atención o grupo se encuentra inscrito el (la) niño(a)?,4,Nacional,Nacional,1.0
NO SABE/NO RESPONDE,sala_x,¿En qué sala de atención o grupo se encuentra inscrito el (la) niño(a)?,99,Nacional,Nacional,1.0
18-25,edad_x,¿Qué edad tiene usted?,1,Nacional,Nacional,15.0
26-34,edad_x,¿Qué edad tiene usted?,2,Nacional,Nacional,51.0
35-44,edad_x,¿Qué edad tiene usted?,3,Nacional,Nacional,32.0
45-54,edad_x,¿Qué edad tiene usted?,4,Nacional,Nacional,1.0
55-64,edad_x,¿Qué edad tiene usted?,5,Nacional,Nacional,0.0
65 y más,edad_x,¿Qué edad tiene usted?,6,Nacional,Nacional,0.0
Padre o madre del niño(a),cargotrab_x,¿Quién estuvo a cargo del cuidado del niño mientras usted se encontraba en su centro de trabajo?,1,Nacional,Nacional,21.0
Abuelos,cargotrab_x,¿Quién estuvo a cargo del cuidado del niño mientras usted se encontraba en su centro de trabajo?,2,Nacional,Nacional,50.0
Tíos,cargotrab_x,¿Quién estuvo a cargo del cuidado del niño mientras usted se encontraba en su centro de trabajo?,3,Nacional,Nacional,8.0
Algún otro familiar,cargotrab_x,¿Quién estuvo a cargo del cuidado del niño mientras usted se encontraba en su centro de trabajo?,4,Nacional,Nacional,11.0
Algún conocido,cargotrab_x,¿Quién estuvo a cargo del cuidado del niño mientras usted se encontraba en su centro de trabajo?,5,Nacional,Nacional,6.0
Pagué para su cuidado,cargotrab_x,¿Quién estuvo a cargo del cuidado del niño mientras usted se encontraba en su centro de trabajo?,6,Nacional,Nacional,3.0
Otro,cargotrab_x,¿Quién estuvo a cargo del cuidado del niño mientras usted se encontraba en su centro de trabajo?,98,Nacional,Nacional,1.0
NO SABE/NO RESPONDE,cargotrab_x,¿Quién estuvo a cargo del cuidado del niño mientras usted se encontraba en su centro de trabajo?,99,Nacional,Nacional,0.0
Muy satisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",1,Esquema,Prestación indirecta,62.0
Satisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",2,Esquema,Prestación indirecta,31.0
Ni satisfecho(a) ni Insatisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",3,Esquema,Prestación indirecta,4.0
Insatisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",4,Esquema,Prestación indirecta,1.0
Muy insatisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",5,Esquema,Prestación indirecta,2.0
NO SABE/NO RESPONDE,sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",99,Esquema,Prestación indirecta,0.0
Muy satisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",1,Esquema,Prestación directa,44.0
Satisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",2,Esquema,Prestación directa,44.0
Ni satisfecho(a) ni Insatisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",3,Esquema,Prestación directa,6.0
Insatisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",4,Esquema,Prestación directa,3.0
Muy insatisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",5,Esquema,Prestación directa,2.0
NO SABE/NO RESPONDE,sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",99,Esquema,Prestación directa,0.0
Excelente,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,1,Esquema,Prestación indirecta,61.0
Bueno,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,2,Esquema,Prestación indirecta,33.0
Ni bueno ni malo,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,3,Esquema,Prestación indirecta,4.0
Malo,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,4,Esquema,Prestación indirecta,1.0
Pésimo,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,5,Esquema,Prestación indirecta,0.0
NO SABE/NO RESPONDE,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,99,Esquema,Prestación indirecta,0.0
Excelente,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,1,Esquema,Prestación directa,39.0
Bueno,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,2,Esquema,Prestación directa,48.0
Ni bueno ni malo,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,3,Esquema,Prestación directa,10.0
Malo,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,4,Esquema,Prestación directa,2.0
Pésimo,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,5,Esquema,Prestación directa,1.0
NO SABE/NO RESPONDE,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,99,Esquema,Prestación directa,0.0
Excelente,trato1,¿Cómo es el trato que recibe el (la) niño(a) por parte del personal de la guardería?,1,Esquema,Prestación indirecta,61.0
Bueno,trato1,¿Cómo es el trato que recibe el (la) niño(a) por parte del personal de la guardería?,2,Esquema,Prestación indirecta,35.0
Ni bueno ni malo,trato1,¿Cómo es el trato que recibe el (la) niño(a) por parte del personal de la guardería?,3,Esquema,Prestación indirecta,3.0
